full_name,social_net,link,price_stories,story_with_travel_to_location,price_reels_creative,price_photo_post,collaboration,youtube_integration,youtube_dedicated_video,category,subs,avg_views_reels,cpv_reels_creative,engagement_rate,men,women,age_13-17,age_18-24,age_25-34,age_35-44,armenia,russia,usa,georgia,yerevan,gyumri,vanadzor,moscow
Mariam Aleksanian,instagram,https://www.instagram.com/mariamaleqsanyan/,"200,000","50,000","650,000","450,000","50,000.00",-,-,lifestyle,"283,000","263,300",2.47,0.34%,21.10%,78.80%,17.00%,47.40%,23.60%,8.00%,85.20%,7.00%,1.60%,1.60%,62.30%,2.50%,2.30%,2.20%
Mery Kocharyan,instagram,https://www.instagram.com/merykocharyan/,"200,000","50,000","650,000","450,000","50,000.00",-,-,lifestyle,"292,000","353,000",1.84,0.25%,44.60%,55.30%,14.30%,38.30%,25.34%,13.90%,n/a,n/a,n/a,n/a,45.20%,2.60%,2.10%,2.90%
Sona Matevosyan,instagram,https://www.instagram.com/sona_matevosian/,"150,000","50,000","450,000","300,000","50,000.00",-,-,lifestyle,"106,000","352,000",1.28,3.96%,82.30%,17.60%,12.40%,43.40%,28.00%,10.70%,81.80%,9.00%,3.10%,1.80%,63.10%,2.10%,2.10%,3.10%
Marinka Khachatryan,instagram,https://www.instagram.com/marinka_khachatryan_official_/,"200,000","50,000","550,000","450,000","50,000.00",-,-,lifestyle,"407,000","257,000",2.14,5.43%,28.50%,71.40%,15.30%,42.20%,24.80%,11.60%,77.70%,12.40%,2.00%,2.70%,56.10%,2.60%,1.70%,3.30%
Zara Sahakyan,instagram,https://www.instagram.com/zarasahakyan_official?igsh=Z2JlNzR2YjE3NnQ%3D,"150,000","50,000","450,000","300,000","50,000.00",-,-,lifestyle,"101,000","180,000",2.50,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ziroyan,instagram,https://www.instagram.com/ziroyan__/,"150,000","50,000","500,000","325,000","50,000.00",-,-,lifestyle,"180,000","290,000",1.72,0.55%,33.30%,66.60%,9.90%,30.50%,24.60%,19.40%,61.10%,18.50%,10.20%,1.40%,45.10%,2.30%,1.30%,6.00%
Ani Khachikyan,instagram,https://www.instagram.com/ani___khachikyan?igshid=YmMyMTA2M2Y%3D,"130,000","50,000","450,000","290,000","50,000.00",-,-,lifestyle,"69,600","104,000",4.33,11.81%,24.80%,75.20%,6.00%,27.00%,38.10%,20.50%,60.30%,6.80%,4.80%,1.10%,65.50%,2.20%,1.10%,2.20%
Varuj Margaryan,instagram,https://www.instagram.com/varuj.margaryan/,"50,000","50,000","300,000","150,000","50,000.00",-,-,cinema,"34,600","90,000",3.33,13.64%,20.10%,79.80%,11.70%,45.10%,30.90%,8.20%,81.90%,10.80%,2.20%,1.30%,62.60%,2.60%,1.60%,3.50%
Anahit Manukyan,instagram,https://www.instagram.com/anahitmanukyan__?igshid=MzRlODBiNWFlZA%3D%3D,"130,000","50,000","350,000","200,000","50,000.00",-,-,cinema,"78,500","407,000",0.86,3.02%,12.90%,87.00%,15.50%,37.70%,24.80%,12.90%,0.00%,0.00%,0.00%,0.00%,49.90%,1.80%,1.10%,4.60%
Irina Ayvazyan,instagram,https://www.instagram.com/irinaayvazyaan/,"150,000","50,000","450,000","325,000","50,000.00",-,-,lifestyle,"162,000","206,000",2.18,5.96%,35.30%,64.60%,7.20%,30.70%,38.00%,16.00%,71.20%,14.20%,2.00%,2.00%,0.00%,0.00%,0.00%,0.00%
Yelena Varderesyan,instagram,https://www.instagram.com/yelenavarderesyan?igsh=MXIwcWRuMnAxNjEwbw%3D%3D,"100,000","50,000","260,000","180,000","50,000.00",-,-,lifestyle,"52,000","453,000",0.57,2.71%,17.30%,82.60%,4.40%,17.40%,39.40%,23.30%,0.00%,0.00%,0.00%,0.00%,49.50%,1.70%,1.60%,5.30%
Romela Sargsyan,instagram,https://www.instagram.com/romel_sargsyan/,"130,000","50,000","400,000","215,000","50,000.00",-,-,lifestyle,"105,000","218,000",1.83,1.89%,31.30%,66.60%,5.20%,24.60%,35.40%,22.20%,68.70%,12.10%,3.40%,2/`%,42.80%,2.70%,2.10%,3.50%
Yellow Heart (Lily),instagram,https://www.instagram.com/yellowheart.lily/,"150,000","50,000","400,000","275,000","50,000.00",-,-,music,"73,300","242,000",1.65,41.05%,26.20%,73.70%,18.80%,40.70%,24.50%,10.70%,82.70%,5.90%,3.60%,1.80%,53.30%,2.00%,1.60%,3.10%
Dayana Sargsyan,instagram,https://www.instagram.com/dayana_sargsyan?igsh=a3IyNG41amR5cDIx,"70,000","50,000","250,000","160,000","50,000.00",-,-,music,"25,800","150,000",1.67,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Karo Ayrumyan,instagram,https://www.instagram.com/karoayrumyan/,"200,000","50,000","920,000","560,000","50,000.00",-,-,blog,"175,000","360,000",0.98,27.60%,60.50%,39.50%,15.80%,31.80%,25.60%,16.00%,81.60%,6.60%,4.40%,2.60%,59.50%,2.60%,2.20%,2.00%
