full_name,social_net,link,price_stories,story_with_travel_to_location,price_reels_creative,price_photo_post,collaboration,youtube_integration,youtube_dedicated_video,category,subs,avg_views_reels,CPV_reels_creative,engagement_rate,men,women,age_13-17,age_18-24,age_25-34,age_35-44,armenia,russia,usa,georgia,yerevan,gyumri,vanadzor,moscow
Mariam Aleksanian,instagram,https://www.instagram.com/mariamaleqsanyan/,"200,000","50,000","650,000","450,000","50,000",0,0,lifestyle,"283,000","263,300",2.47,0.34%,0.21,0.79,0.17,0.47,0.24,0.08,0.85,0.07,0.02,0.02,0.62,0.03,0.02,0.02
Mery Kocharyan,instagram,https://www.instagram.com/merykocharyan/,"200,000","50,000","650,000","450,000","50,000",0,0,lifestyle,"292,000","353,000",1.84,0.25%,0.45,0.55,0.14,0.38,0.25,0.14,0.00,0.00,0.00,0.00,0.45,0.03,0.02,0.03
Sona Matevosyan,instagram,https://www.instagram.com/sona_matevosian/,"150,000","50,000","450,000","300,000","50,000",0,0,lifestyle,"106,000","352,000",1.28,3.96%,0.82,0.18,0.12,0.43,0.28,0.11,0.82,0.09,0.03,0.02,0.63,0.02,0.02,0.03
Marinka Khachatryan,instagram,https://www.instagram.com/marinka_khachatryan_official_/,"200,000","50,000","550,000","450,000","50,000",0,0,lifestyle,"407,000","257,000",2.14,5.43%,0.29,0.71,0.15,0.42,0.25,0.12,0.78,0.12,0.02,0.03,0.56,0.03,0.02,0.03
Zara Sahakyan,instagram,https://www.instagram.com/zarasahakyan_official?igsh=Z2JlNzR2YjE3NnQ%3D,"150,000","50,000","450,000","300,000","50,000",0,0,lifestyle,"101,000","180,000",2.50,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ziroyan,instagram,https://www.instagram.com/ziroyan__/,"150,000","50,000","500,000","325,000","50,000",0,0,lifestyle,"180,000","290,000",1.72,0.55%,0.33,0.67,0.10,0.31,0.25,0.19,0.61,0.19,0.10,0.01,0.45,0.02,0.01,0.06
Ani Khachikyan,instagram,https://www.instagram.com/ani___khachikyan?igshid=YmMyMTA2M2Y%3D,"130,000","50,000","450,000","290,000","50,000",0,0,lifestyle,"69,600","104,000",4.33,11.81%,0.25,0.75,0.06,0.27,0.38,0.21,0.60,0.07,0.05,0.01,0.66,0.02,0.01,0.02
Varuj Margaryan,instagram,https://www.instagram.com/varuj.margaryan/,"50,000","50,000","300,000","150,000","50,000",0,0,cinema,"34,600","90,000",3.33,13.64%,0.20,0.80,0.12,0.45,0.31,0.08,0.82,0.11,0.02,0.01,0.63,0.03,0.02,0.04
Anahit Manukyan,instagram,https://www.instagram.com/anahitmanukyan__?igshid=MzRlODBiNWFlZA%3D%3D,"130,000","50,000","350,000","200,000","50,000",0,0,cinema,"78,500","407,000",0.86,3.02%,0.13,0.87,0.16,0.38,0.25,0.13,0.00,0.00,0.00,0.00,0.50,0.02,0.01,0.05
Irina Ayvazyan,instagram,https://www.instagram.com/irinaayvazyaan/,"150,000","50,000","450,000","325,000","50,000",0,0,lifestyle,"162,000","206,000",2.18,5.96%,0.35,0.65,0.07,0.31,0.38,0.16,0.71,0.14,0.02,0.02,0.00,0.00,0.00,0.00
Yelena Varderesyan,instagram,https://www.instagram.com/yelenavarderesyan?igsh=MXIwcWRuMnAxNjEwbw%3D%3D,"100,000","50,000","260,000","180,000","50,000",0,0,lifestyle,"52,000","453,000",0.57,2.71%,0.17,0.83,0.04,0.17,0.39,0.23,0.00,0.00,0.00,0.00,0.50,0.02,0.02,0.05
Romela Sargsyan,instagram,https://www.instagram.com/romel_sargsyan/,"130,000","50,000","400,000","215,000","50,000",0,0,lifestyle,"105,000","218,000",1.83,1.89%,0.31,0.67,0.05,0.25,0.35,0.22,0.69,0.12,0.03,2/`%,0.43,0.03,0.02,0.04
Yellow Heart (Lily),instagram,https://www.instagram.com/yellowheart.lily/,"150,000","50,000","400,000","275,000","50,000",0,0,music,"73,300","242,000",1.65,41.05%,0.26,0.74,0.19,0.41,0.25,0.11,0.83,0.06,0.04,0.02,0.53,0.02,0.02,0.03
Dayana Sargsyan,instagram,https://www.instagram.com/dayana_sargsyan?igsh=a3IyNG41amR5cDIx,"70,000","50,000","250,000","160,000","50,000",0,0,music,"25,800","150,000",1.67,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karo Ayrumyan,instagram,https://www.instagram.com/karoayrumyan/,"200,000","50,000","920,000","560,000","50,000",0,0,blog,"175,000","360,000",0.98,27.60%,0.61,0.40,0.16,0.32,0.26,0.16,0.82,0.07,0.04,0.03,0.60,0.03,0.02,0.02
Karo Ayrumyan,tiktok,https://www.tiktok.com/@karcomedy,0,"50,000","920,000",0,0,0,0,blog,"161,500","200,000",0.98,27.60%,0.59,0.41,0.00,0.51,0.27,0.13,0.90,0.03,0.01,0.03,0.80,0.04,0.02,0.02
