full_name,social_net ,link,price_stories,story_with_travel_to_location,price_reels_creative,price_photo_post,collaboration,youtube_integration,youtube_dedicated_video,category,subs,avg_views_reels,cpv_reels_creative,engagement_rate,men,women,age_13-17,age_18-24,age_25-34,age_35-44,armenia,russia,usa,georgia,yerevan,gyumri,vanadzor,moscow
Mariam Aleksanian,instagram,https://www.instagram.com/mariamaleqsanyan/,"200,000.00","50,000.00","650,000.00","450,000.00","50,000.00",-,-,lifestyle,"283,000.00","263,300.00",2.47,0.00,0.21,0.79,0.17,0.47,0.24,0.08,0.85,0.07,0.02,0.02,0.62,0.03,0.02,0.02
Mery Kocharyan,instagram,https://www.instagram.com/merykocharyan/,"200,000.00","50,000.00","650,000.00","450,000.00","50,000.00",-,-,lifestyle,"292,000.00","353,000.00",1.84,0.00,0.45,0.55,0.14,0.38,0.25,0.14,n/a,n/a,n/a,n/a,0.45,0.03,0.02,0.03
Sona Matevosyan,instagram,https://www.instagram.com/sona_matevosian/,"150,000.00","50,000.00","450,000.00","300,000.00","50,000.00",-,-,lifestyle,"106,000.00","352,000.00",1.28,0.04,0.82,0.18,0.12,0.43,0.28,0.11,0.82,0.09,0.03,0.02,0.63,0.02,0.02,0.03
Marinka Khachatryan,instagram,https://www.instagram.com/marinka_khachatryan_official_/,"200,000.00","50,000.00","550,000.00","450,000.00","50,000.00",-,-,lifestyle,"407,000.00","257,000.00",2.14,0.05,0.29,0.71,0.15,0.42,0.25,0.12,0.78,0.12,0.02,0.03,0.56,0.03,0.02,0.03
Zara Sahakyan,instagram,https://www.instagram.com/zarasahakyan_official?igsh=Z2JlNzR2YjE3NnQ%3D,"150,000.00","50,000.00","450,000.00","300,000.00","50,000.00",-,-,lifestyle,"101,000.00","180,000.00",2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ziroyan,instagram,https://www.instagram.com/ziroyan__/,"150,000.00","50,000.00","500,000.00","325,000.00","50,000.00",-,-,lifestyle,"180,000.00","290,000.00",1.72,0.01,0.33,0.67,0.10,0.31,0.25,0.19,0.61,0.19,0.10,0.01,0.45,0.02,0.01,0.06
Ani Khachikyan,instagram,https://www.instagram.com/ani___khachikyan?igshid=YmMyMTA2M2Y%3D,"130,000.00","50,000.00","450,000.00","290,000.00","50,000.00",-,-,lifestyle,"69,600.00","104,000.00",4.33,0.12,0.25,0.75,0.06,0.27,0.38,0.21,0.60,0.07,0.05,0.01,0.66,0.02,0.01,0.02
Varuj Margaryan,instagram,https://www.instagram.com/varuj.margaryan/,"50,000.00","50,000.00","300,000.00","150,000.00","50,000.00",-,-,cinema,"34,600.00","90,000.00",3.33,0.14,0.20,0.80,0.12,0.45,0.31,0.08,0.82,0.11,0.02,0.01,0.63,0.03,0.02,0.04
Anahit Manukyan,instagram,https://www.instagram.com/anahitmanukyan__?igshid=MzRlODBiNWFlZA%3D%3D,"130,000.00","50,000.00","350,000.00","200,000.00","50,000.00",-,-,cinema,"78,500.00","407,000.00",0.86,0.03,0.13,0.87,0.16,0.38,0.25,0.13,0.00,0.00,0.00,0.00,0.50,0.02,0.01,0.05
Irina Ayvazyan,instagram,https://www.instagram.com/irinaayvazyaan/,"150,000.00","50,000.00","450,000.00","325,000.00","50,000.00",-,-,lifestyle,"162,000.00","206,000.00",2.18,0.06,0.35,0.65,0.07,0.31,0.38,0.16,0.71,0.14,0.02,0.02,0.00,0.00,0.00,0.00
